documento,pagina,riga,sezione,capitolo,piano_gestionale,voce,anno,importo_mln
cdp2017,29,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2017,2629.45
cdp2017,29,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2018,2517.9
cdp2017,29,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2019,2784.1
cdp2017,29,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2020,2597.0
cdp2017,29,1,impieghi,,,RETE CONVENZIONALE/ALTA CAPACITA',2021,2487.0
cdp2017,29,2,impieghi,,,RETE AV/AC TO-MI-NA,2017,188.45
cdp2017,29,2,impieghi,,,RETE AV/AC TO-MI-NA,2018,252.0
cdp2017,29,2,impieghi,,,RETE AV/AC TO-MI-NA,2019,315.8
cdp2017,29,2,impieghi,,,RETE AV/AC TO-MI-NA,2020,253.0
cdp2017,29,2,impieghi,,,RETE AV/AC TO-MI-NA,2021,313.0
cdp2017,29,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2017,2817.9
cdp2017,29,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2018,2769.9
cdp2017,29,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2019,3099.9
cdp2017,29,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2020,2850.0
cdp2017,29,3,impieghi,,,TOTALE TAB. A - SEZIONE 1 - OPERE IN CORSO,2021,2800.0
cdp2017,29,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2017,507.45
cdp2017,29,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2018,1080.1
cdp2017,29,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2019,1350.1
cdp2017,29,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2020,1900.0
cdp2017,29,4,impieghi,,,"TOTALE TAB.B: ""LOTTI COSTRUTTIVI"" (QUOTA FINANZIATA)",2021,2200.0
cdp2017,29,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2017,3325.35
cdp2017,29,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2018,3850.0
cdp2017,29,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2019,4450.0
cdp2017,29,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2020,4750.0
cdp2017,29,5,impieghi,,,TOTALE IMPIEGHI CdP-I,2021,0.0
cdp2017,29,6,fonti,,,RISORSE DA STATO (7+14),2017,2229.24
cdp2017,29,6,fonti,,,RISORSE DA STATO (7+14),2018,4062.64
cdp2017,29,6,fonti,,,RISORSE DA STATO (7+14),2019,3743.48
cdp2017,29,6,fonti,,,RISORSE DA STATO (7+14),2020,4209.5
cdp2017,29,6,fonti,,,RISORSE DA STATO (7+14),2021,4460.58
cdp2017,29,7,fonti,,,MEF (8+11+12+13),2017,1612.02
cdp2017,29,7,fonti,,,MEF (8+11+12+13),2018,3298.64
cdp2017,29,7,fonti,,,MEF (8+11+12+13),2019,3296.48
cdp2017,29,7,fonti,,,MEF (8+11+12+13),2020,3974.5
cdp2017,29,7,fonti,,,MEF (8+11+12+13),2021,4083.58
cdp2017,29,8,fonti,,,A legislazione vigente (9+10),2017,1285.18
cdp2017,29,8,fonti,,,A legislazione vigente (9+10),2018,3006.36
cdp2017,29,8,fonti,,,A legislazione vigente (9+10),2019,2796.68
cdp2017,29,8,fonti,,,A legislazione vigente (9+10),2020,3466.3
cdp2017,29,8,fonti,,,A legislazione vigente (9+10),2021,3504.78
cdp2017,29,9,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferrovia,2017,1283.44
cdp2017,29,9,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferrovia,2018,3004.44
cdp2017,29,9,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferrovia,2019,2794.76
cdp2017,29,9,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferrovia,2020,3464.38
cdp2017,29,9,fonti,7122,,Contributi in conto impianti per lo sviluppo e l'ammodernamento delle infrastrutture ferrovia,2021,3502.86
cdp2017,29,9-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2017,58.0
cdp2017,29,9-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2018,316.0
cdp2017,29,9-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2019,576.36
cdp2017,29,9-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2020,187.45
cdp2017,29,9-1,fonti,,PG1,Contributi per lo sviluppo e l'ammodernamento delle infrastrutture ferroviarie,2021,
cdp2017,29,9-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2017,838.49
cdp2017,29,9-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2018,2234.44
cdp2017,29,9-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2019,1778.4
cdp2017,29,9-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2020,2794.93
cdp2017,29,9-2,fonti,,PG2,"Fondo Opere: rifinaziamento art.1 comma 84, LF 266/05",2021,3020.86
cdp2017,29,9-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2017,170.0
cdp2017,29,9-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2018,120.0
cdp2017,29,9-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2019,120.0
cdp2017,29,9-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2020,120.0
cdp2017,29,9-3,fonti,,PG4,Infrastruttura nazionale ferroviaria (Dl 43/2013),2021,120.0
cdp2017,29,9-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2017,60.95
cdp2017,29,9-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2018,14.0
cdp2017,29,9-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2019,
cdp2017,29,9-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2020,
cdp2017,29,9-4,fonti,,PG6,Tratta Cancello - Frasso Telesino,2021,
cdp2017,29,9-5,fonti,,PG7,"Brescia-Verona-Padova, Napoli-Bari",2017,
cdp2017,29,9-5,fonti,,PG7,"Brescia-Verona-Padova, Napoli-Bari",2018,320.0
cdp2017,29,9-5,fonti,,PG7,"Brescia-Verona-Padova, Napoli-Bari",2019,320.0
cdp2017,29,9-5,fonti,,PG7,"Brescia-Verona-Padova, Napoli-Bari",2020,320.0
cdp2017,29,9-5,fonti,,PG7,"Brescia-Verona-Padova, Napoli-Bari",2021,320.0
cdp2017,29,9-6,fonti,,PG8,Adeguamento tracciato e velocizzazione asse ferroviario adriatico Bologna-Lecce,2017,156.0
cdp2017,29,9-6,fonti,,PG8,Adeguamento tracciato e velocizzazione asse ferroviario adriatico Bologna-Lecce,2018,
cdp2017,29,9-6,fonti,,PG8,Adeguamento tracciato e velocizzazione asse ferroviario adriatico Bologna-Lecce,2019,
cdp2017,29,9-6,fonti,,PG8,Adeguamento tracciato e velocizzazione asse ferroviario adriatico Bologna-Lecce,2020,
cdp2017,29,9-6,fonti,,PG8,Adeguamento tracciato e velocizzazione asse ferroviario adriatico Bologna-Lecce,2021,
cdp2017,29,9-7,fonti,,PG9,,2017,
cdp2017,29,9-7,fonti,,PG9,,2018,
cdp2017,29,9-7,fonti,,PG9,,2019,
cdp2017,29,9-7,fonti,,PG9,,2020,42.0
cdp2017,29,9-7,fonti,,PG9,,2021,42.0
cdp2017,29,10,fonti,7123,,Contributi per la realizzazione di opere specifiche,2017,1.74
cdp2017,29,10,fonti,7123,,Contributi per la realizzazione di opere specifiche,2018,1.92
cdp2017,29,10,fonti,7123,,Contributi per la realizzazione di opere specifiche,2019,1.92
cdp2017,29,10,fonti,7123,,Contributi per la realizzazione di opere specifiche,2020,1.92
cdp2017,29,10,fonti,7123,,Contributi per la realizzazione di opere specifiche,2021,1.92
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2017,49.75
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2018,68.0
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2019,198.0
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2020,133.0
cdp2017,29,11,fonti,7493,,Riduzione tasso cofinanziamento nazionale,2021,135.0
cdp2017,29,12,fonti,8000,,Fondo Sviluppo e Coesione,2017,236.79
