cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
B31D24000040001,A/B,P129,Collegamento ferroviario aeroporto di Genova Fermate di Erzelli/Aeroporto e Cornigliano est ACC e PRG Sestri Ponente PROG PROG,"Aeroporti, accessibilità su ferro",101.1,agg2025,58
C51B20000970006,A/B,P251,Collegamento porto di Augusta Collegamento porto di Augusta,"Porti e interporti, ultimo miglio",104.57,agg2025,56
F21H91000000008,C,,Tratta AV/AC Milano - Bologna,,0.0,agg2024,114
F32H23000570007,C,,Sicurezza ed Obblighi di Legge,,2.3,agg2025,135
F37F24000020007,C,,Sicurezza ed Obblighi di Legge,,1.5,agg2025,135
F41H91000000008,C,,Rete AV/AC Torino-Milano-Napoli: opere in esercizio,,0.0,agg2025,143
F81H91000000008,A/B,0361,Linea AV/AC Milano - Verona: tratta Brescia - Verona,Direttrici di interesse nazionale,,agg2025,126
F81H92000000008,A/B,0343,Tratta AV/AC Terzo valico dei Giovi,,,cdp2017,171
F81H92000000008,A/B,P234,Nodo di Genova e Terzo valico dei Giovi Potenziamento infrastrutturale Voltri-Brignole Porto di Genova: Nuovo terminal merci i Genova Campasso Potenzi,Direttrici di interesse nazionale,10623.31,agg2025,63
I41J05000020005,A/B,A004,Galleria di base del Brennero - quota Italia,Direttrici di interesse nazionale,,agg2025,127
J11B21008720008,A/B,P210A,Potenziamento della linea Terni - Rieti - L’Aquila-Sulmona Velocizzazione Terni-Rieti e adeguamento massa assiale Rieti- ITER L'Aquila Linea Terni-Sul,Valorizzazione reti regionali,236.98,agg2025,66
J11C05000010001,C,,Interventi su SCC e IaP - Palermo,,0.91,agg2021,128
J11C09000000009,A/B,0332A,Nodo di Bari: Bari Sud Variante Bari C.le-Bari Torre a Mare,Città metropolitane,431.3,cdp2022,55
J11C09000000009,A/B,0332B,Nodo di Bari: Bari Nord Variante tratta Bari S.Spirito - Palese,Città metropolitane,628.0,cdp2022,55
J11C09000000009,A/B,P262A,Velocizzazione e potenziamento linea ferroviaria Adriatica 1^ fase,Direttrici di interesse nazionale,6074.52,agg2025,72
J11C91000000008,C,,Tratta AV/AC RM-NA: interventi funzionali al Nodo AV/AC Napoli,,13.0,cdp2022,139
J11H00000190001,C,,PROGRAMMA OPERATIVO TRASPORTI FERROVIE,,-0.03,agg2021,129
J11H00000190011,C,,"Progetto ""HISPEEDMIX""",,-0.09,agg2021,128
J11H00000190021,C,,Studi di fattibilità e progettazioni,,-0.0,agg2025,140
J11H00000220001,C,,Studi di fattibilità e progettazioni,,0.0,agg2025,140
J11H00000240001,C,,Studi di fattibilità e progettazioni,,-0.0,agg2025,140
J11H01000260001,C,,Applicazioni Tecnologiche,,32.09,cdp2017,179
J11H02000040008,A/B,0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta",Città metropolitane,1045.03,agg2025,54
J11H02000060001,A/B,0242,"Velocizzazione Palermo - Agrigento Velocizzazione Montemaggiore-Roccapalumba, Variante Lercara e altri interventi minori",Valorizzazione reti regionali,167.5,agg2025,50
J11H02000070008,A/B,0249,Linea Messina-Catania: raddoppio Giampilieri-Fiumefreddo Raddoppio Giampilieri-Taormina Raddoppio Letojanni-Taormina-Fiumefreddo,Direttrici di interesse nazionale,2563.96,agg2025,60
J11H02000080001,C,,Adeguamento Linea Storica Torino-Lione,,0.16,cdp2017,179
J11H02000090001,C,,Itinerari merci: potenziamento merci direttrice Tirren Nord,,-0.01,agg2024,113
J11H02000120001,C,,Sistema di Controllo Marcia Treno (SCMT)-Progettazione di massima Automac Train Control (ATC) 2^ fase,,-0.02,agg2024,113
J11H02000130001,A/B,0223A,Nodo di Novara 1^ fase Sistemazione Novara Boschetto e PRG Vignale PROG PROG,Direttrici di interesse nazionale,190.5,agg2025,70
J11H02000130001,A/B,0223B,Nodo di Novara completamento Nodo di Novara: Passante merci (include progettazioni pregresse PROG PROG per opere di scavalco linee Novara-Mortara e No,Direttrici di interesse nazionale,392.53,agg2025,77
J11H03000030008,A/B,0241A,Cintura di Torino e connessione al collegamento Torino- Lione opere prioritarie Sezione nazionale Torino-Lione 1^ fase (quadruplicamento PROG PROG Avi,Direttrici di interesse nazionale,2989.54,agg2025,70
J11H03000030008,A/B,0241B,Cintura di Torino e connessione al collegamento Torino- Lione completamento Cintura di Torino (nuova linea Orbassano-Settimo Torinese) Sezione naziona,Direttrici di interesse nazionale,2692.85,agg2025,77
J11H03000040011,C,,Miglioramenti Infrastrutturali Stazioni,,1.28,cdp2017,176
J11H03000040021,C,,Miglioramenti Infrastrutt. stazioni (VE),,0.47,cdp2017,176
J11H03000040041,C,,MIGLIORAMENTI INFRASTRUTTURALI STAZIONI,,0.51,cdp2017,176
J11H03000050001,C,,Itinerario alternativo potenziamento Novara-Alessandria,,0.11,cdp2017,179
J11H03000060001,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Roma,,2.44,cdp2017,176
J11H03000060011,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Genova,,15.14,cdp2017,176
J11H03000060021,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Napoli,,15.57,cdp2017,176
J11H03000060031,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Firenze,,2.47,cdp2017,176
J11H03000060041,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Bologna,,20.74,cdp2017,176
J11H03000060071,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Reggio Calabria,,4.34,cdp2017,176
J11H03000060081,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Torino,,1.81,cdp2017,176
J11H03000060101,C,,Miglioramento sicurezza gallerie ferroviarie - DTP Milano,,13.82,cdp2017,176
J11H03000070001,C,,Manutenzione mezzi di manovra - Roma,,0.6,cdp2017,176
J11H03000080001,C,,Manut.Mezzi di Manovra-Palermo 2002,,0.23,cdp2017,176
J11H03000090001,C,,Movicentro Piemonte,,4.84,agg2021,129
J11H03000100001,A/B,1357,Potenziamento Fossano-Cuneo Interventi nella stazione di Centallo e progettazione raddoppio Fossano-Cuneo,Valorizzazione reti regionali,23.38,agg2025,50
J11H03000130001,A/B,0264A,Accesso al Sempione: raddoppio Vignale-Oleggio-Arona Raddoppio Vignale-Oleggio PROG PROG Raddoppio Oleggio-Arona PROG PROG,Direttrici di interesse nazionale,424.0,agg2025,77
J11H03000130001,A/B,0264B,Accesso al Sempione: raddoppio Vignale-Oleggio- Arona completamento Nuovo terminal autostrada viaggiante Cameri,,111.0,cdp2017,102
J11H03000140008,A/B,0270,Sistemazione nodo di Catania Interramento stazione Catania c.le completamento del doppio PROG PROG binario tra Catania C.le e Catania Acquicella Inter,Direttrici di interesse nazionale,1607.82,agg2025,70
J11H03000150001,A/B,0271A,Velocizzazione Catania-Siracusa 1^ fase Velocizzazione Bicocca-Augusta,Valorizzazione reti regionali,100.33,agg2025,50
J11H03000150001,A/B,0271B,Velocizzazione Catania-Siracusa completamento Velocizzazione Augusta-Targia PROG PROG,Valorizzazione reti regionali,44.0,agg2025,74
J11H03000170009,C,,Ponte sullo stretto di Messina: opere ferroviarie connesse sponda siciliana,,-0.6,cdp2022,139
