codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
A001,Roma-Napoli AV/AC,Linee AC/AV,232.987,164.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
A003,Torino-Milano AV/AC,Linee AC/AV,132.442,76.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
A005,Milano-Bologna AV/AC,Linee AC/AV,224.01,164.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
A007,Bologna - Firenze AV/AC,Linee AC/AV,91.311,243.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
A009,Milano - Brescia AV/AC,Linee AC/AV,52.836,65.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
C001,Asti - Castagnole,Linee con <= 40 treni/giorno,20.128,6.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C002,Chivasso - Aosta,Linee con <= 40 treni/giorno,98.619,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,31
C003,Aosta - Pre' S. Didier,Linee con <= 40 treni/giorno,31.369,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C004,Casale Popolo - Casale Monferrato,Linee con <= 40 treni/giorno,3.493,25.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C005,Bivio Castel Rosso - Casale Popolo,Linee con <= 40 treni/giorno,41.375,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C006,Casale Monferrato - Valenza,Linee con <= 40 treni/giorno,18.781,19.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C007,Valenza - Alessandria,Linee con > 40 e < 100 treni/giorno,15.174,70.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C008,Sangone - Pinerolo,Linee con <= 40 treni/giorno,30.479,38.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C009,Fossano - Cuneo,Linee con > 40 e < 100 treni/giorno,25.139,43.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
