documento,pagina,categoria,voce,anno,importo_cumulato_mln
cdp2017,175,A00,Manutenzione Straordinaria ed Obblighi di,2015,18042.2
cdp2017,175,A00,Manutenzione Straordinaria ed Obblighi di,2016,19656.76
cdp2017,175,A00,Manutenzione Straordinaria ed Obblighi di,variazione,1614.56
cdp2017,175,A02,"Tecnologie per la sicurezza, la circolazione e",2015,3515.0
cdp2017,175,A02,"Tecnologie per la sicurezza, la circolazione e",2016,3652.49
cdp2017,175,A02,"Tecnologie per la sicurezza, la circolazione e",variazione,137.49
cdp2017,175,A03/04,Sviluppo infrastrutturale e upgrading,2015,8151.9
cdp2017,175,A03/04,Sviluppo infrastrutturale e upgrading,2016,8856.49
cdp2017,175,A03/04,Sviluppo infrastrutturale e upgrading,variazione,704.6
cdp2017,175,A03/04,Impianti industriali e terminali viaggiatori e,2015,817.6
cdp2017,175,A03/04,Impianti industriali e terminali viaggiatori e,2016,953.78
cdp2017,175,A03/04,Impianti industriali e terminali viaggiatori e,variazione,136.19
cdp2017,175,A03/04,Studi di fattibilità e progettazioni,2015,269.88
cdp2017,175,A03/04,Studi di fattibilità e progettazioni,2016,275.32
cdp2017,175,A03/04,Studi di fattibilità e progettazioni,variazione,5.44
cdp2017,175,A05,Sviluppo infrastrutturale rete AV/AC Torino-,2015,0.0
cdp2017,175,A05,Sviluppo infrastrutturale rete AV/AC Torino-,2016,27273.5
cdp2017,175,A05,Sviluppo infrastrutturale rete AV/AC Torino-,variazione,27273.5
cdp2017,175,TOTALE,,2015,30796.57
cdp2017,175,TOTALE,,2016,60668.35
cdp2017,175,TOTALE,,variazione,29871.78
agg2021,125,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2018,19641.98
agg2021,125,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2020,20842.93
agg2021,125,E.1,Manutenzione Straordinaria ed Obblighi di Legge,variazione,1200.95
agg2021,125,E.5,"Tecnologie per la sicurezza, la circolazione e",2018,3705.07
agg2021,125,E.5,"Tecnologie per la sicurezza, la circolazione e",2020,3825.85
agg2021,125,E.5,"Tecnologie per la sicurezza, la circolazione e",variazione,120.79
agg2021,125,E.2,Sviluppo infrastrutturale e upgrading,2018,8898.28
agg2021,125,E.2,Sviluppo infrastrutturale e upgrading,2020,8910.35
agg2021,125,E.2,Sviluppo infrastrutturale e upgrading,variazione,12.07
agg2021,125,E.3,Impianti industriali e terminali viaggiatori e merci,2018,953.86
agg2021,125,E.3,Impianti industriali e terminali viaggiatori e merci,2020,1348.71
agg2021,125,E.3,Impianti industriali e terminali viaggiatori e merci,variazione,394.85
agg2021,125,E.4,Studi di fattibilità e progettazioni,2018,274.99
agg2021,125,E.4,Studi di fattibilità e progettazioni,2020,275.26
agg2021,125,E.4,Studi di fattibilità e progettazioni,variazione,0.27
agg2021,125,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2018,29313.71
agg2021,125,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2020,29320.97
agg2021,125,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,variazione,7.26
agg2021,125,TOTALE,,2018,62787.88
agg2021,125,TOTALE,,2020,64524.07
agg2021,125,TOTALE,,variazione,1736.19
cdp2022,137,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2020,21162.15
cdp2022,137,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2021,21167.89
cdp2022,137,E.1,Manutenzione Straordinaria ed Obblighi di Legge,variazione,5.75
cdp2022,137,E.5,"Tecnologie per la sicurezza, la circolazione e",2020,3756.18
cdp2022,137,E.5,"Tecnologie per la sicurezza, la circolazione e",2021,4789.57
cdp2022,137,E.5,"Tecnologie per la sicurezza, la circolazione e",variazione,1033.39
cdp2022,137,E.2,Sviluppo infrastrutturale e upgrading,2020,8772.09
cdp2022,137,E.2,Sviluppo infrastrutturale e upgrading,2021,10014.8
cdp2022,137,E.2,Sviluppo infrastrutturale e upgrading,variazione,1242.71
cdp2022,137,E.3,Impianti industriali e terminali viaggiatori e merci,2020,1238.83
cdp2022,137,E.3,Impianti industriali e terminali viaggiatori e merci,2021,1235.62
cdp2022,137,E.3,Impianti industriali e terminali viaggiatori e merci,variazione,-3.2
cdp2022,137,E.4,Studi di fattibilità e progettazioni,2020,273.86
cdp2022,137,E.4,Studi di fattibilità e progettazioni,2021,275.28
cdp2022,137,E.4,Studi di fattibilità e progettazioni,variazione,1.42
cdp2022,137,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2020,29320.97
cdp2022,137,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2021,29864.79
cdp2022,137,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,variazione,543.81
cdp2022,137,TOTALE,,2020,64524.07
cdp2022,137,TOTALE,,2021,67347.95
cdp2022,137,TOTALE,,variazione,2823.88
agg2023,36,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2021,21167.89
agg2023,36,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2022,21176.74
agg2023,36,E.1,Manutenzione Straordinaria ed Obblighi di Legge,variazione,8.84
agg2023,36,E.5,"Tecnologie per la sicurezza, la circolazione e",2021,4789.57
agg2023,36,E.5,"Tecnologie per la sicurezza, la circolazione e",2022,4791.03
agg2023,36,E.5,"Tecnologie per la sicurezza, la circolazione e",variazione,1.46
agg2023,36,E.2,Sviluppo infrastrutturale e upgrading,2021,10014.8
agg2023,36,E.2,Sviluppo infrastrutturale e upgrading,2022,10345.89
agg2023,36,E.2,Sviluppo infrastrutturale e upgrading,variazione,331.1
agg2023,36,E.3,Impianti industriali e terminali viaggiatori e merci,2021,1235.62
agg2023,36,E.3,Impianti industriali e terminali viaggiatori e merci,2022,1234.26
agg2023,36,E.3,Impianti industriali e terminali viaggiatori e merci,variazione,-1.37
agg2023,36,E.4,Studi di fattibilità e progettazioni,2021,275.28
agg2023,36,E.4,Studi di fattibilità e progettazioni,2022,279.38
agg2023,36,E.4,Studi di fattibilità e progettazioni,variazione,4.1
agg2023,36,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2021,29864.79
agg2023,36,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2022,29864.79
agg2023,36,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,variazione,0.0
agg2023,36,TOTALE,,2021,67347.95
agg2023,36,TOTALE,,2022,67692.08
agg2023,36,TOTALE,,variazione,344.14
agg2024,112,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2022,21176.74
agg2024,112,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2023,21197.07
agg2024,112,E.1,Manutenzione Straordinaria ed Obblighi di Legge,variazione,20.33
agg2024,112,E.5,"Tecnologie per la sicurezza, la circolazione e",2022,4791.03
agg2024,112,E.5,"Tecnologie per la sicurezza, la circolazione e",2023,4977.16
agg2024,112,E.5,"Tecnologie per la sicurezza, la circolazione e",variazione,186.13
agg2024,112,E.2,Sviluppo infrastrutturale e upgrading,2022,10345.89
agg2024,112,E.2,Sviluppo infrastrutturale e upgrading,2023,10486.99
agg2024,112,E.2,Sviluppo infrastrutturale e upgrading,variazione,141.1
agg2024,112,E.3,Impianti industriali e terminali viaggiatori e merci,2022,1234.26
agg2024,112,E.3,Impianti industriali e terminali viaggiatori e merci,2023,1247.52
agg2024,112,E.3,Impianti industriali e terminali viaggiatori e merci,variazione,13.26
agg2024,112,E.4,Studi di fattibilità e progettazioni,2022,279.38
agg2024,112,E.4,Studi di fattibilità e progettazioni,2023,284.15
agg2024,112,E.4,Studi di fattibilità e progettazioni,variazione,4.77
agg2024,112,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2022,29864.79
agg2024,112,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,2023,29865.14
agg2024,112,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-,variazione,0.36
agg2024,112,TOTALE,,2022,67692.08
agg2024,112,TOTALE,,2023,68058.02
agg2024,112,TOTALE,,variazione,365.94
agg2025,129,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2023,21197.07
agg2025,129,E.1,Manutenzione Straordinaria ed Obblighi di Legge,2024,24622.97
agg2025,129,E.1,Manutenzione Straordinaria ed Obblighi di Legge,variazione,3425.9
agg2025,129,E.2,Sviluppo infrastrutturale e upgrading,2023,10486.99
agg2025,129,E.2,Sviluppo infrastrutturale e upgrading,2024,10833.98
agg2025,129,E.2,Sviluppo infrastrutturale e upgrading,variazione,346.99
agg2025,129,E.3,Impianti industriali e terminali viaggiatori e merci,2023,1247.52
agg2025,129,E.3,Impianti industriali e terminali viaggiatori e merci,2024,1247.88
agg2025,129,E.3,Impianti industriali e terminali viaggiatori e merci,variazione,0.36
agg2025,129,E.4,Studi di fattibilità e progettazioni,2023,284.15
agg2025,129,E.4,Studi di fattibilità e progettazioni,2024,281.87
agg2025,129,E.4,Studi di fattibilità e progettazioni,variazione,-2.28
agg2025,129,E.5,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",2023,4977.16
agg2025,129,E.5,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",2024,5561.63
agg2025,129,E.5,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",variazione,584.47
agg2025,129,A5000_0,Sviluppo infrastrutturale rete AV/AC Torino-Milano-Napoli,2023,29865.14
