codice_intervento,descrizione_cdp,progetto_rfi,attivazione_prevista,pnrr,regioni,pagine_pdf,tipi_di_beneficio,riferimento_cdp_rfi,natura_del_dato
P210A,Potenziamento della linea Terni - Rieti - L’Aquila-Sulmona Velocizzazione Terni-Rieti e adeguamento massa assiale Rieti- ITER L'Aquila Linea Terni-Sulmona: Infrastrutture di terra per la produzione/stoccaggi e distribuzione di idrogeno verde,Potenziamento della linea Terni - Rieti - L’Aquila - Sulmona,2028 Fase 1 Oltre il 2029* completamento,Misura 1.5,Abruzzo|Umbria,385|794,VELOCITÀ|REGOLARITÀ|PRESTAZIONI|SOSTENIBILITÀ,P210A - Collegamento Terni - Rieti - L’Aquila - Sulmona - opere prioritarie,fonte esterna (dichiarato da RFI)
A2001B,Tecnologie per la circolazione,Potenziamento linea Guidonia - Sulmona,2026 fase 2027 completamento,,Abruzzo,386|500,REGOLARITÀ,A2001B - Tecnologie per la circolazione; A2004E - Dismissione contesti di esercizio obsoleti,fonte esterna (dichiarato da RFI)
A2004E,Dismissione contesti di esercizio obsoleti,Potenziamento linea Guidonia - Sulmona,2026 fase 2027 completamento,,Abruzzo,386|500,REGOLARITÀ,A2001B - Tecnologie per la circolazione; A2004E - Dismissione contesti di esercizio obsoleti,fonte esterna (dichiarato da RFI)
P223,Adeguamento prestazionale e upgrading corridoio TEN-T Baltico-Adriatico e linee afferenti,Adeguamento del tracciato e velocizzazione Bologna - Lecce Tratta Pescara-Termoli-Foggia,2027,Misura 1.5,Molise|Puglia,387|620|674,VELOCITÀ|VELOCITÀ,P223 - Adeguamento prestazionale e upgrading corridoio TEN-T Baltico-Adriatico e linee afferenti,fonte esterna (dichiarato da RFI)
P240A,Roma-Pescara fasi Raddoppio Tagliacozzo-Avezzano PROG PROG Raddoppio Sulmona-Pratola Peligna PROG PROG Raddoppio Scafa-Manoppello-Interporto d'Abruzzo,Roma-Pescara,2027 fase Oltre il 2029* completamento,,Abruzzo,388,,P240A - Roma-Pescara; P240B - Roma-Pescara,fonte esterna (dichiarato da RFI)
P240B,Roma-Pescara completamento Nuova linea Roma-Mandela-Tagliacozzo,Roma-Pescara,2027 fase Oltre il 2029* completamento,,Abruzzo,388,,P240A - Roma-Pescara; P240B - Roma-Pescara,fonte esterna (dichiarato da RFI)
P087B,Ammodernamento e potenziamento rete ferroviaria Regione Abruzzo - Collegamento al porto di Vasto Collegamento al porto di Vasto PROG PROG,Nuovo collegamento con il porto di Vasto,2027 fase Oltre il 2029* completamento,,Abruzzo,390,CAPACITÀ|INTERMODALITÀ,P087B - Ammodernamento e potenziamento rete ferroviaria Regione Abruzzo - Collegamento al,fonte esterna (dichiarato da RFI)
0307A,Roma-Pescara - ulteriore fasi Raddoppio Interporto d'Abruzzo-Chieti-Pescara PROG ITER,Roma - Pescara: raddoppio Pescara - Chieti - Interporto d’Abruzzo,Oltre il 2029*,,Abruzzo,392,REGOLARITÀ|ACCESSIBILITÀ ALLA RETE|VELOCITÀ|CAPACITÀ|INTERMODALITÀ|ACCESSIBILITA PRM,0307A - Roma-Pescara - ulteriore fasi,fonte esterna (dichiarato da RFI)
0136,Nuova Linea Ferrandina-Matera La Martella,Nuova linea Ferrandina - Matera La Martella,2028 fase Oltre il 2029* completamento,Misura 1.7,Basilicata,402,ACCESSIBILITÀ ALLA RETE|GESTIONE DEGLI SPAZI DI STAZIONE|ACCESSIBILITA PRM,0136 - Nuova linea Ferrandina - Matera La Martella,fonte esterna (dichiarato da RFI)
1674,"Linea ferroviaria Potenza - Foggia - ammodernamento Ammodernamento Potenza-Foggia Fase 1: adeguamento a standard RFI e razionalizzazione impianti Ammodernamento Potenza-Foggia Fase 2B: velocizzazione PROG PROG Variante di Melfi PROG PROG Ammodernamento Potenza-Foggia Fase 2A: elettrificazione, soppressione PL e consolidamento sede",Linea ferroviaria Potenza - Foggia ammodernamento,2026 fase 1 2027 fase 2 Oltre il 2029* completamento,Misura 1.7,Basilicata,404|671,VELOCITÀ|PRESTAZIONI|CAPACITÀ|SOSTENIBILITÀ,1674 - Linea ferroviaria Foggia - Potenza - ammodernamento,fonte esterna (dichiarato da RFI)
P238,Battipaglia - Potenza - Metaponto - Taranto Battipaglia - Potenza - Metaponto - Taranto 1^ fase Battipaglia - Potenza - Metaponto - Taranto 2^ fase,Taranto-Battipaglia,2028 fase Oltre il 2029* completamento,Misura 1.3,Basilicata|Puglia,406|445|676,VELOCITÀ|REGOLARITÀ|ACCESSIBILITA PRM,P238 - Battipaglia - Potenza - Metaponto - Taranto,fonte esterna (dichiarato da RFI)
P126,Velocizzazione direttrice Salerno-Taranto Velocizzazione impianti linea Battipaglia-Potenza,Velocizzazione direttrice Salerno - Taranto,2026,Misura 1.9,Basilicata|Campania,408|440|681,VELOCITÀ ACCESSIBILITA PRM,P126 - Velocizzazione impianti tratta Battipaglia-Potenza,fonte esterna (dichiarato da RFI)
P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione linea jonica tratta Catanzaro Lido - Crotone - Sibari Potenziamento Lamezia Terme - Settingiano e elettrificazione,Upgrade tecnologico della linea Sibari - Catanzaro Lido - Lamezia Terme Centrale con ACCM/SCCM (fase),2026 fase 2027 compl.,Misura 1.7,,416,VELOCITÀ REGOLARITÀ,P245 - Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e,fonte esterna (dichiarato da RFI)
P055_A,Piano integrato Stazioni,Nuove fermate nell’Area Metropolitana di Reggio Calabria,2029 fase 1 Oltre il 2029* fase 2,,Calabria,417,ACCESSIBILITÀ ALLA RETE ACCESSIBILITA PRM,P055_A - Piano integrato Stazioni,fonte esterna (dichiarato da RFI)
P245,Adeguamento e velocizzazione linea ferroviaria jonica - tratta Sibari-Melito Porto Salvo e trasversale Lamezia Terme - Catanzaro Lido Elettrificazione linea jonica tratta Catanzaro Lido - Crotone - Sibari Potenziamento Lamezia Terme - Settingiano e elettrificazione,"Adeguamento, velocizzazione ed elettrificazione linea ferroviaria jonica",2027 fase Oltre il 2029* completamento,Misura 1.7,Calabria,419,VELOCITÀ|ACCESSIBILITÀ ALLA RETE|ACCESSIBILITA PRM,P245 - Adeguamento e velocizzazione linea ferroviaria jonica: tratta Sibari-Melito Porto Salvo e,fonte esterna (dichiarato da RFI)
I107A,AV-AC Salerno - Reggio Calabria AV Salerno-Reggio Calabria: Lotto 1a Battipaglia - Romagnano e progettazione di fattibilità tecnico-economica intero itinerario AV Salerno-Reggio Calabria: Lotti 1b+1c Romagnano - Praia ITER AV Salerno-Reggio Calabria: Raddoppio Galleria Santomarco AV Salerno-Reggio Calabria: Lotto 2 Praia-Paola,Salerno-Reggio Calabria,2028 fase (lotto 1a) Oltre il 2029* completamento,Misura 1.1,Calabria|Campania,421|438,VELOCITÀ,I107A - AV-AC Salerno-Reggio Calabria; P238-Battipaglia-Potenza-Metaponto-Taranto,fonte esterna (dichiarato da RFI)
P238,Battipaglia - Potenza - Metaponto - Taranto Battipaglia - Potenza - Metaponto - Taranto 1^ fase Battipaglia - Potenza - Metaponto - Taranto 2^ fase,Salerno-Reggio Calabria,2028 fase (lotto 1a) Oltre il 2029* completamento,Misura 1.1,Calabria|Campania,421|438,VELOCITÀ,I107A - AV-AC Salerno-Reggio Calabria; P238-Battipaglia-Potenza-Metaponto-Taranto,fonte esterna (dichiarato da RFI)
P258,Linea Rosarno-S. Ferdinando: adeguamento PRG impianti di Rosarno e San Ferdinando Adeguamento PRG impianti di Rosarno e San Ferdinando,PRG di Rosarno e San Ferdinando,2026,Misura 1.6,Calabria,423,CAPACITÀ|INTERMODALITÀ|PRESTAZIONI,P258 - Linea Rosarno-San Ferdinando: adeguamento PRG di Rosarno e San Ferdinando,fonte esterna (dichiarato da RFI)
P134,Upgrading infrastrutturale e tecnologico nodo di Napoli,Nodo complesso di Salerno Centrale,2028,,Campania,432,REGOLARITÀ|CAPACITÀ ACCESSIBILITA PRM,P134 - Upgrading infrastrutturale e tecnologico nodo di Napoli,fonte esterna (dichiarato da RFI)
P224,Adeguamento prestazionale e upgrading corridoio TEN-T Scandinavia - Mediterraneo e linee afferenti,Upgrading tecnologico Roma - Napoli via Formia tratta Formia - Villa Literno,2026 fase 1 Formia-Sessa Aurunca 2027 fase 2 Sessa Aurunca-Villa Literno,Misura 1.5,Campania,434,REGOLARITÀ|GESTIONE DEI ROTABILI|GESTIONE DEGLI SPAZI DI STAZIONE,P224 - Adeguamento prestazionale e upgrading corridoio TEN-T Scandinavia - Mediterraneo,fonte esterna (dichiarato da RFI)
I173,"Elettrificazione, velocizzazione e ammodernamento linee Salerno - Mercato S.S. - Avellino - Benevento e tratta","Elettrificazione, velocizzazione e ammodernamento linee Salerno - Mercato S.Severino - Avellino - Benevento e tratta Mercato S.Severino - Codola - Sarno",2027 fase Oltre 2029* completamento,,,435,VELOCITÀ REGOLARITÀ|PRESTAZIONI|SOSTENIBILITÀ,"I173 - Elettrificazione, velocizzazione e ammodernamento linee Salerno - Mercato S.Severino -",fonte esterna (dichiarato da RFI)
I177,"Completamento metropolitana di Salerno: tratta stadio Arechi-Pontecagnano Aeroporto Completamento metropolitana di Salerno: tratta stadio Arechi- Pontecagnano Aeroporto ASI Salerno - nuova stazione metropolitana - ""Zona Industriale""",Completamento metropolitana di Salerno: tratta Arechi-Pontecagnano Aeroporto,2027 fase 2028 completamento,Misura 1.7,Campania,436,ACCESSIBILITÀ ALLA RETE ACCESSIBILITA PRM|GESTIONE DEGLI SPAZI DI STAZIONE|INTERMODALITÀ,I177 - Completamento metropolitana di Salerno: tratta stadio Arechi - Pontecagnano Aeroporto,fonte esterna (dichiarato da RFI)
P211,Nodo complesso di Pompei Nodo complesso di Pompei,Nodo complesso di Pompei,2028,,,437,ACCESSIBILITÀ ALLA RETE ACCESSIBILITA PRM|INTEGRAZIONE DELLA RETE,P211 - Nodo complesso di Pompei,fonte esterna (dichiarato da RFI)
P224,Adeguamento prestazionale e upgrading corridoio TEN-T Scandinavia - Mediterraneo e linee afferenti,Upgrading tecnologico Linea AV/AC Roma - Napoli,2027,Misura 1.5,,441|512,REGOLARITÀ,P224 - Adeguamento prestazionale e upgrading corridoio TEN-T Scandinavia - Mediterraneo,fonte esterna (dichiarato da RFI)
0279A,Itinerario Napoli-Bari: Raddoppio e velocizzazione tratta Cancello-Frasso Telesino Nuovo collegamento Cancello-Frasso Telesino e progettazione preliminare intero itinerario,Itinerario Napoli-Bari,2026 fase 2029 completamento,Misura 1.1,Campania|Puglia,442|678,ACCESSIBILITÀ ALLA RETE|VELOCITÀ|CAPACITÀ|ACCESSIBILITÀ ALLA RETE|PRESTAZIONI,"0279A, 0284, 0279B, 0281, 0099A, 0099B, 0099C - itinerario Napoli - Bari",fonte esterna (dichiarato da RFI)
0284,Itinerario Napoli-Bari: Interventi su linea Cancello-Napoli per integrazione con linea AV/AC Variante Napoli-Cancello,Itinerario Napoli-Bari,2026 fase 2029 completamento,Misura 1.1,Campania|Puglia,442|678,ACCESSIBILITÀ ALLA RETE|VELOCITÀ|CAPACITÀ|ACCESSIBILITÀ ALLA RETE|PRESTAZIONI,"0279A, 0284, 0279B, 0281, 0099A, 0099B, 0099C - itinerario Napoli - Bari",fonte esterna (dichiarato da RFI)
