codice,descrizione,programma_num,programma,sottoprogramma,classe,classe_nome,cup,cups,classe_dpp,paniere_pnrr,stato_attuativo,stato_finanziario,ultimo_documento,pagina,costo_totale_mln,finanziato_mln,da_finanziare_mln,avanzamento_mln
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J61H94000000001,,no,RE|ES,integralmente finanziato,agg2025,59,358.31,358.31,0.0,356.52
0013B,Fermata Vesuvio Est Linea a monte del Vesuvio Fermata Vesuvio Est PROG PROG,09,Direttrici di interesse nazionale,,d,Interventi in progettazione,,J61H94000000001,,no,,parzialmente finanziato,agg2025,77,60.9,1.83,59.07,0.43
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto",06,Città metropolitane,,b,Interventi in esecuzione,,J11H92000000008,,no,RE,parzialmente finanziato,agg2025,54,1307.26,1287.26,20.0,1117.53
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,,,,b,Interventi in esecuzione,,,,no,,per memoria,cdp2017,52,0.0,0.0,0.0,
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,06,Città metropolitane,,c,Interventi prioritari,,J31H96000070008,,no,RE|ES,parzialmente finanziato,agg2025,68,564.68,253.33,311.34,231.89
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,06,Città metropolitane,,d,Interventi in progettazione,,J31H96000070008,,no,FAP,parzialmente finanziato,agg2025,75,1542.66,2.66,1540.0,1.42
0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta Susa e Nuova SSE Torino Bramante",06,Città metropolitane,,b,Interventi in esecuzione,,J11H02000040008,,no,RE|ES,integralmente finanziato,agg2025,54,1045.03,1045.03,0.0,1033.19
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J71H92000020008,,no,RE|ES,parzialmente finanziato,agg2025,59,691.53,690.0,1.53,671.45
0081,Potenziamento asse ferroviario Pontremolese,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J61H92000000008,,no,,per memoria,cdp2022,61,0.0,0.0,0.0,
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,06,Città metropolitane,,b,Interventi in esecuzione,,J31H98000030008,,no,RE|ES,parzialmente finanziato,agg2025,54,322.5,303.46,19.04,286.96
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J41H92000000008,,no,RE|ES,integralmente finanziato,agg2025,59,263.4,263.4,0.0,258.41
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J41H92000000008,,no,RE,integralmente finanziato,agg2025,59,579.26,579.26,0.0,160.0
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J41H92000000008,,no,RE|ES,integralmente finanziato,agg2025,59,19.95,19.95,0.0,19.36
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto",09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J71H92000030008,,no,RE|ES,parzialmente finanziato,agg2025,59,498.58,487.58,11.0,467.6
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,06,Città metropolitane,,b,Interventi in esecuzione,,J11H92000020008,,no,RE|ES,integralmente finanziato,agg2025,54,126.66,126.66,0.0,125.76
0119,Potenziamento infrastrutturale Orte-Falconara,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J61H03000030001,,no,,parzialmente finanziato,agg2025,59,387.65,377.65,10.0,343.48
0136,Nuova Linea Ferrandina-Matera La Martella,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J81H92000020001,,no,,integralmente finanziato,agg2025,59,525.45,525.45,0.0,52.91
0142A,"Raddoppio Pescara-Bari 1^ fase Completamento raddoppio Ortona-Casalbordino, Vasto-Vasto S.Salvo e Lesina-San Severo (opere già in esercizio) e Raddoppio tratta a nord della stazione di Ortona PRG e ACC Foggia",09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J71H92000000007,,no,RE|ES,integralmente finanziato,agg2025,60,318.79,318.79,0.0,272.25
0142B,Completamento raddoppio Pescara-Bari (tratta Termoli- Lesina) Raddoppio Ripalta-Lesina Raddoppio Termoli-Ripalta,09,Direttrici di interesse nazionale,,b,Interventi in esecuzione,,J71H92000000007,,no,RE,integralmente finanziato,agg2025,60,700.0,700.0,0.0,118.39
0149,"Sistemazione nodo di Bari Raddoppio Bari Parco Sud - Bari Torre a Mare e variante ingresso linea merci Bari-Taranto, Variante ingresso linea viaggiatori Bari- Taranto, modifica radice lato Nord Bari C.le e ACC Bari Parco Nord, Binari di stazionamento della stazione di Bari C.le",06,Città metropolitane,,b,Interventi in esecuzione,,J71H98000000001,,no,RE|ES,integralmente finanziato,agg2025,54,159.61,159.61,0.0,137.69
0223A,Nodo di Novara 1^ fase Sistemazione Novara Boschetto e PRG Vignale PROG PROG,09,Direttrici di interesse nazionale,,c,Interventi prioritari,,J11H02000130001,,no,,parzialmente finanziato,agg2025,70,190.5,5.7,184.8,3.18
0223B,Nodo di Novara completamento Nodo di Novara: Passante merci (include progettazioni pregresse PROG PROG per opere di scavalco linee Novara-Mortara e Novara-Milano),09,Direttrici di interesse nazionale,,d,Interventi in progettazione,,J11H02000130001,,no,,parzialmente finanziato,agg2025,77,392.53,6.97,385.56,6.97
0226,Raddoppio Orte-Falconara: tratta Spoleto-Terni Raddoppio Spoleto-Terni PROG ITER,09,Direttrici di interesse nazionale,,d,Interventi in progettazione,,J61H02000090008,,no,,parzialmente finanziato,agg2025,77,1618.04,23.42,1594.62,22.64
0240,"Potenziamento infrastrutturale Voltri-Brignole 1^ fase: Completamento variante Pegli-Voltri e PRG Voltri 1^ fase, quadruplicamento Voltri-Sampierdarena e PRG Sampierdarena, sestuplicamento P.Principe-Brignole/Terralba 2^ fase: Completamento PRG Voltri",,,,b,Interventi in esecuzione,,J71H02000110008,INV,no,RE|PD,integralmente finanziato,cdp2017,52,642.4,642.4,0.0,
