codice,documento,pagina,costo_mln,finanziato_mln,da_finanziare_mln,avanzamento_mln
0013A,cdp2017,69,360.13,360.13,0.0,
0013A,agg2021,43,358.31,358.31,0.0,355.65
0013A,cdp2022,65,358.31,358.31,0.0,356.06
0013A,agg2024,52,358.31,358.31,0.0,356.44
0013A,agg2025,59,358.31,358.31,0.0,356.52
0013B,cdp2017,86,59.08,35.5,23.58,
0013B,agg2021,54,60.9,27.33,33.58,0.43
0013B,cdp2022,74,60.9,27.33,33.58,0.43
0013B,agg2024,66,60.9,1.83,59.08,0.43
0013B,agg2025,77,60.9,1.83,59.07,0.43
0036,cdp2017,56,1152.3,1152.3,0.0,
0036,agg2021,36,1200.0,1180.3,19.7,1043.72
0036,cdp2022,55,1200.0,1200.0,0.0,1061.95
0036,agg2024,46,1285.88,1234.8,51.08,1099.48
0036,agg2025,54,1307.26,1287.26,20.0,1117.53
0037,cdp2017,52,0.0,0.0,0.0,
0049A,cdp2017,51,225.0,225.0,0.0,
0049A,agg2021,51,571.96,395.0,176.96,202.06
0049A,cdp2022,53,388.59,388.59,0.0,210.07
0049A,agg2024,56,550.78,249.58,301.21,221.07
0049A,agg2025,68,564.68,253.33,311.34,231.89
0049B,cdp2017,99,466.7,0.0,466.7,
0049B,agg2021,63,139.74,0.0,139.74,0.0
0049B,cdp2022,78,323.12,6.41,316.71,1.42
0049B,agg2024,62,323.12,6.42,316.7,1.42
0049B,agg2025,75,1542.66,2.66,1540.0,1.42
0052,cdp2017,51,1040.7,1040.7,0.0,
0052,agg2021,36,1040.7,1040.7,0.0,1018.54
0052,cdp2022,53,1040.7,1040.7,0.0,1021.22
0052,agg2024,45,1045.03,1045.03,0.0,1025.64
0052,agg2025,54,1045.03,1045.03,0.0,1033.19
0077,cdp2017,61,670.0,670.0,0.0,
0077,agg2021,45,690.0,690.0,0.0,666.17
0077,cdp2022,60,690.0,690.0,0.0,666.91
0077,agg2024,49,691.53,690.0,1.53,669.79
0077,agg2025,59,691.53,690.0,1.53,671.45
0081,cdp2017,63,568.06,568.06,0.0,
0081,agg2021,46,568.06,568.06,0.0,566.79
0081,cdp2022,61,0.0,0.0,0.0,
0083,cdp2017,53,322.5,322.5,0.0,
0083,agg2021,37,322.5,322.5,0.0,284.18
0083,cdp2022,54,322.5,322.5,0.0,284.23
0083,agg2024,45,322.5,286.84,35.66,286.92
0083,agg2025,54,322.5,303.46,19.04,286.96
0099A,cdp2017,67,263.4,263.4,0.0,
0099A,agg2021,42,263.4,263.4,0.0,255.11
0099A,cdp2022,64,263.4,263.4,0.0,256.65
0099A,agg2024,51,263.4,263.4,0.0,258.36
0099A,agg2025,59,263.4,263.4,0.0,258.41
0099B,cdp2017,85,670.6,169.8,500.8,
0099B,agg2021,42,561.8,561.8,0.0,19.64
0099B,cdp2022,64,561.8,561.8,0.0,19.64
0099B,agg2024,51,577.43,577.43,0.0,70.21
0099B,agg2025,59,579.26,579.26,0.0,160.0
0099C,cdp2017,67,19.95,19.95,0.0,
0099C,agg2021,42,19.95,19.95,0.0,19.11
0099C,cdp2022,64,19.95,19.95,0.0,19.11
0099C,agg2024,51,19.95,19.95,0.0,19.36
0099C,agg2025,59,19.95,19.95,0.0,19.36
0100,cdp2017,64,478.56,478.56,0.0,
0100,agg2021,47,498.58,498.58,0.0,458.06
0100,cdp2022,63,498.58,498.58,0.0,461.54
0100,agg2024,50,498.58,487.58,11.0,466.64
0100,agg2025,59,498.58,487.58,11.0,467.6
0115,cdp2017,55,126.66,126.66,0.0,
0115,agg2021,36,126.66,126.66,0.0,125.07
0115,cdp2022,55,126.66,126.66,0.0,125.49
0115,agg2024,46,126.66,126.66,0.0,125.75
0115,agg2025,54,126.66,126.66,0.0,125.76
0119,cdp2017,66,329.02,329.02,0.0,
0119,agg2021,48,369.02,369.02,0.0,310.77
0119,cdp2022,63,369.02,369.02,0.0,317.28
0119,agg2024,51,373.34,373.34,0.0,329.54
0119,agg2025,59,387.65,377.65,10.0,343.48
0136,cdp2017,68,255.49,255.49,0.0,
0136,agg2021,42,365.49,365.49,0.0,45.75
0136,cdp2022,65,365.49,365.49,0.0,45.88
0136,agg2024,52,429.24,429.24,0.0,46.48
0136,agg2025,59,525.45,525.45,0.0,52.91
0142A,cdp2017,64,299.04,299.04,0.0,
0142A,agg2021,47,318.79,313.79,5.0,262.23
0142A,cdp2022,62,318.79,318.79,0.0,263.92
0142A,agg2024,50,318.79,318.79,0.0,268.36
0142A,agg2025,60,318.79,318.79,0.0,272.25
0142B,cdp2017,64,699.63,699.63,0.0,
0142B,agg2021,47,700.0,700.0,0.0,19.98
0142B,cdp2022,62,700.0,700.0,0.0,24.5
0142B,agg2024,50,700.0,700.0,0.0,55.87
0142B,agg2025,60,700.0,700.0,0.0,118.39
0149,cdp2017,54,159.61,144.61,15.0,
0149,agg2021,38,159.61,159.61,0.0,136.81
0149,cdp2022,54,159.61,159.61,0.0,137.43
0149,agg2024,46,159.61,159.61,0.0,138.14
0149,agg2025,54,159.61,159.61,0.0,137.69
0223A,cdp2017,61,91.04,91.04,0.0,
0223A,agg2021,55,183.1,83.1,100.0,1.95
0223A,cdp2022,71,190.5,83.1,107.4,9.04
0223A,agg2024,58,190.5,5.7,184.8,3.14
0223A,agg2025,70,190.5,5.7,184.8,3.18
0223B,cdp2017,102,491.99,6.53,485.46,
0223B,agg2021,64,399.93,6.97,392.96,6.97
0223B,cdp2022,79,392.53,6.97,385.56,0.0
0223B,agg2024,64,392.53,6.97,385.56,6.97
0223B,agg2025,77,392.53,6.97,385.56,6.97
0226,cdp2017,85,572.0,11.42,560.58,
0226,agg2021,57,572.0,23.42,548.58,10.86
0226,cdp2022,73,572.0,23.42,548.58,10.86
0226,agg2024,65,572.0,23.42,548.58,18.89
0226,agg2025,77,1618.04,23.42,1594.62,22.64
0240,cdp2017,52,642.4,642.4,0.0,
0241A,cdp2017,80,1700.15,65.54,1634.61,
0241A,agg2021,54,1700.15,65.54,1634.61,39.11
0241A,cdp2022,71,1700.15,67.54,1632.61,39.18
0241A,agg2024,58,1700.15,827.43,872.72,50.99
