cup,descrizione,allegato,fonte,atto_integrativo,riferimento_normativo,cdps_2016_2021,cdps_2022_2026,totale_riga,sede_doit_nominata,regioni_nominate,edizione,pagina
J27H22000010001,CdP-S Infratruttura Fisica DOIT Reggio Calabria - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 97 del 31 maggio 2023,0.0,0.63,0.63,Reggio Calabria,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J97H22000030001,CdP-S Infratruttura Fisica DOIT Napoli - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 97 del 31 maggio 2023,0.0,0.03,0.03,Napoli,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J47H22000030001,CdP-S Infratruttura Fisica DOIT Bologna - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 97 del 31 maggio 2023,0.0,0.09,0.09,Bologna,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J67D22000160001,CdP-S Infratruttura Fisica DOIT Torino - anno 2023,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 97 del 31 maggio 2023,0.0,0.42,0.42,Torino,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J27H22000010001,CdP-S Infratruttura Fisica DOIT Reggio Calabria - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.05,0.05,Reggio Calabria,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J47H22000040001,CdP-S Infratruttura Fisica DOIT Firenze - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.14,0.14,Firenze,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J67H22000030001,CdP-S Infratruttura Fisica DOIT Torino - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.32,0.32,Torino,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J67D22000160001,CdP-S Infratruttura Fisica DOIT Torino - anno 2023,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.48,0.48,Torino,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J97D22000160001,CdP-S Infratruttura Fisica DOIT Genova - anno 2023,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.73,0.73,Genova,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J97H22000110001,CdP-S Infratruttura Tecnologica DOIT Napoli - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 190 del 8 settembre 2023,0.0,0.09,0.09,Napoli,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J27J18000230001,Manutenzione Straordinaria Linee Reggio - 2019,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 288 del 13 dicembre 2023,0.02,0.0,0.02,,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J87H22000220001,CdP-S Infratruttura Fisica DOIT Bari - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,secondo,Decreto MIT n. 288 del 13 dicembre 2023,0.0,0.05,0.05,Bari,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J97D22000160001,CdP-S Infrastruttura Fisica DOIT Genova - anno 2023,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,terzo,Decreto MIT n. 80 del 2 aprile 2024,0.0,1.17,1.17,Genova,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J67D22000160001,CdP-S Infrastruttura Fisica DOIT Torino - anno 2023,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,terzo,Decreto MIT n. 80 del 2 aprile 2024,0.0,0.43,0.43,Torino,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
J27H22000030001,CdP-S Infrastruttura Energetica DOIT Reggio Calabria - anno 2022,Allegato 4c,Fondo per la prosecuzione delle opere pubbliche,terzo,Decreto MIT n. 418 del 26 settembre 2024,0.0,0.05,0.05,Reggio Calabria,,CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),17
