edizione,allegato,rigo,sezione,voce,capitolo_bilancio,cumulato_al_2021_pm,2022,2023,2024,2025,2026,totale_2022_2026,oltre_2026,totale_complessivo,pagina
CdP-S 2022-2026 (contratto base),4b fonti per cassa,1a,conto esercizio,Legge 234/2021 - Legge di Bilancio 2022 e Leggi di Bilancio seguenti,1541,,1155.56,1055.56,965.56,965.56,965.56,5107.78,,5107.78,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,1b,conto esercizio,Legge 178/2020 - Legge di Bilancio 2021 (risorse per servizio navigazione ME-RC),7255,,5.68,,,,,5.68,,5.68,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,1,conto esercizio,Totale Fonti c/Esercizio,,,1161.24,1055.56,965.56,965.56,965.56,5113.46,0.0,5113.46,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,2a,conto impianti,Legge 234/2021 - Legge di Bilancio 2022 (Cap 7122/PG5) (*),7122,,500.0,1000.0,1000.0,1000.0,1000.0,4500.0,600.0,5100.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,2,conto impianti,Totale Fonti c/Impianti (*),,,500.0,1000.0,1000.0,1000.0,1000.0,4500.0,600.0,5100.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,3,totale fonti,Totale fonti,,,1661.24,2055.56,1965.56,1965.56,1965.56,9613.46,600.0,10213.46,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,4,spesa residuo contratti precedenti,Manutenzione Straordinaria (Residuo CdP-S 2016-2021 e CdP 2012-2014),,7024.51,358.38,,,,,358.38,,7382.89,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5a,fonti residuo contratti precedenti,Delibera CIPE n. 33 del 23.03.2012 (valore iniziale 300 mln€),7514,271.44,,,,,,0.0,,271.44,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5b,fonti residuo contratti precedenti,"Art. 1, c. 175, della l. n. 228/2012 (Legge di Stabilità 2013)",7122,300.0,,,,,,0.0,,300.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5c,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 1, c. 176, della Legge n. 228/2012 (legge di stabilità 2013)",7122,338.0,,,,,,0.0,,338.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5d,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 32, c. 1, del D.L. 98/2011",7518,240.0,,,,,,0.0,,240.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5e,fonti residuo contratti precedenti,"Bilancio di previsione dello Stato (ridestinate da Legge n. 71 24.06.2013, art. 7-ter)",1541,262.89,,,,,,0.0,,262.89,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5f,fonti residuo contratti precedenti,"Art 1, c‐ 73 della Legge 147 del 27.12.2013 (Legge Stabilità 2014)",7122,500.0,,,,,,0.0,,500.0,35
CdP-S 2022-2026 (contratto base),4b fonti per cassa,5g,fonti residuo contratti precedenti,"Legge 147 del 27.12.2013 - Legge Stabilità 2014 (Tab E, cap 7122 Pg2) - Resi operativi da Decreto-Legge 133/14 ""Sblocca Italia"" convertito in Legge 164 del 11.11.2014",7122,220.0,,,,,,0.0,,220.0,35
